mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,Kid Cudi,rap; hip hop; hiphop; us; alternative hip hop,Kid Cudi,False
fab34286-b8e1-4879-bce3-194e1358fbd2,Kesha,Ke$ha,pop; dance; electropop; indie pop; dance-pop; pop rock; pop rap; singer/songwriter; a filk artist,Kesha,False
44cf61b8-5197-448a-b82b-cef6ee89fac5,Paramore,Paramore,rock; alternative rock; punk; power pop; emo; acoustic rock; pop rock; pop punk; pop and chart; emo-pop,Paramore,False
c5eb9407-caeb-4303-b383-6929aa94021c,Papa Roach,Papa Roach,rock; alternative rock; hard rock; nu metal; alternative; alternative metal; pop rock; rap rock; pop and chart,Papa Roach,False
494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,Mariah Carey,pop; american; soul; rnb; dance-pop; adult contemporary; girl; whistle register; pop and chart; pop soul; christmas music; contemporary r&b,Mariah Carey,False
144ef525-85e9-40c3-8335-02c32d0861f3,John Mayer,John Mayer,rock; pop; jazz; blues; folk rock; production music; alternative; soul; blues rock; americana; acoustic rock; pop rock; singer/songwriter; john mayer,John Mayer,False
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,Black Sabbath,rock; heavy metal; metal; british; uk; hard rock; psychedelic rock; blues rock; nwobhm; pop rock; jazz-rock; english; birmingham; reunion; classic pop and rock; traditional doom metal; new wave of british heavy metal; want to listen,Black Sabbath,False
69b39eab-6577-46a4-a9f5-817839092033,Kasabian,Kasabian,rock; alternative rock; british; indie rock; indie; alternative; neo-psychedelia; alternative dance; dance-punk; indietronica; rock and indie,Kasabian,False
d339efbb-77b9-4147-ba9e-59f2f24550b2,Kelly Clarkson,Kelly Clarkson,rock; pop; electropop; dance-pop; pop rock; american idol; pop and chart; teen pop; fixme label mess; a filk artist,Kelly Clarkson,False
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,T.I.,rap; hip hop; southern hip hop; gangsta rap; pop rap; dirty south; hip hop rnb and dance hall; trap rap,T.I.,False
c7020c6d-cae9-4db3-92a7-e5c561cbad50,Keane,Keane,rock; alternative rock; synth-pop; piano rock; alternative pop; english; rock and indie; post-britpop,Keane,False
618b6900-0618-4f1e-b835-bccb17f84294,Eric Clapton,Eric Clapton,rock; pop; blues; british; reggae; hard rock; psychedelic rock; blues rock; pop rock; british blues; classic pop and rock; acoustic blues; clapton; eric clapton; pop/rock; 24 nights; has german audiobooks,Eric Clapton,False
a96ac800-bfcb-412a-8a63-0a98df600700,Modest Mouse,Modest Mouse,rock; alternative rock; american; indie rock; indie; indie pop; indie folk; noise pop; contemporary folk; rock and indie; lo-fi indie,Modest Mouse,False
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,Elvis Presley,rock; pop; american; blues; singer; rockabilly; country; pop rock; blue-eyed soul; gospel; rock and roll; oldies; love; classic pop and rock; party; christmas music; rock & roll; pop/rock; flaming; if you talk in your sleep,Elvis Presley,False
4bb4e4e4-5f66-4509-98af-62dbb90c45c5,Disturbed,Disturbed,rock; heavy metal; metal; american; hard rock; nu metal; new metal; alternative metal; rock and indie; alternative/rock/metal,Disturbed,False
f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,Evanescence,Evanescence,rock; alternative rock; metal; american; nu metal; new metal; alternative metal; pop rock; symphonic rock; gothic rock; piano rock; pop and chart; n2,Evanescence,False
c07f0676-9143-4217-8a9f-4c26bd636f13,My Chemical Romance,My Chemical Romance,rock; alternative rock; punk; hard rock; emo; alternative; pop punk; post-hardcore; pop and chart; matthew edward hall,My Chemical Romance,False
